Month,Weekday,Turbidity,Air Temperature (°C)
1,Tuesday,77.5,-9.472222222222221
1,Tuesday,74.9,-9.283333333333335
1,Tuesday,71.6,-8.988888888888889
1,Tuesday,74,-8.955555555555556
1,Tuesday,73.5,-8.68888888888889
1,Tuesday,73.6,-8.56111111111111
1,Tuesday,70.1,-8.305555555555555
1,Tuesday,67.7,-8.366666666666667
1,Tuesday,73.7,-7.988888888888888
1,Tuesday,76.2,-7.833333333333333
1,Tuesday,65.1,-7.822222222222221
1,Tuesday,76.1,-7.2555555555555555
1,Tuesday,59.9,-6.988888888888888
1,Tuesday,67.3,-6.766666666666667
1,Tuesday,64.9,-6.594444444444445
1,Tuesday,64,-6.311111111111111
1,Tuesday,67,-6.427777777777778
1,Tuesday,66.4,-6.333333333333332
1,Tuesday,69.8,-5.811111111111112
1,Tuesday,67.1,-5.794444444444444
1,Tuesday,63.4,-5.777777777777777
1,Tuesday,66.2,-5.688888888888887
1,Tuesday,75.5,-5.444444444444445
1,Tuesday,61,-5.622222222222224
1,Tuesday,61.2,-5.6722222222222225
1,Tuesday,55.2,-5.78888888888889
1,Tuesday,49.8,-5.888888888888889
1,Tuesday,44.6,-5.844444444444444
1,Tuesday,46.9,-5.638888888888888
1,Tuesday,48.5,-5.688888888888887
1,Tuesday,46.6,-5.544444444444445
1,Tuesday,39.7,-5.549999999999999
1,Tuesday,38.3,-5.633333333333334
1,Tuesday,38.1,-5.83888888888889
1,Tuesday,37.3,-5.794444444444444
1,Tuesday,36.9,-6.138888888888889
1,Tuesday,34.8,-6.35
1,Tuesday,35.1,-6.183333333333333
1,Tuesday,42.3,-6.122222222222222
1,Tuesday,34.9,-6.0888888888888895
1,Tuesday,41.6,-6.244444444444444
1,Tuesday,37.6,-6.355555555555556
1,Tuesday,32,-6.477777777777778
1,Tuesday,36.9,-6.388888888888889
1,Tuesday,50.5,-6.538888888888888
1,Tuesday,44.5,-6.405555555555556
1,Tuesday,54.3,-6.533333333333335
1,Tuesday,50.3,-6.4944444444444445
